No,f1,f2,a1,a2,X,Y,Z,K,M,N
47,-1,-0.5,90,-45,-3.012331648,-1.326350646,2.265280489,0.562116847,0.87060821,-0.586703691
48,-1,-0.5,90,0,-2.9166612,-1.268257343,1.333642614,0.53501121,1.212171268,-0.390479099
49,-1,-0.5,90,45,-2.917383311,-0.909721536,0.879464349,0.272662836,0.55092165,0.166329859
50,-1,-0.5,90,90,-2.877253825,-0.629787667,1.477477329,0.074005535,0.079504331,0.103976785
51,-1,0,-90,-90,-1.773776345,-1.087460273,-1.570403996,-0.104542837,0.463876454,0.435325238
52,-1,0,-90,-45,-1.649927773,-1.288082812,-1.364540885,-0.315255001,-0.289408809,0.885332026
53,-1,0,-90,0,-1.648557364,-1.496840713,-1.632335497,-0.548224114,-1.725707004,0.097625212
54,-1,0,-90,45,-1.727572247,-1.435326824,-2.065106027,-0.538126784,-1.496773951,-0.92683263
55,-1,0,-90,90,-1.788617088,-1.255513584,-2.068970982,-0.450860414,-0.718235938,-0.995213344
56,-1,0,-45,-90,-1.600361785,-1.301895483,-1.153172805,-0.122839917,0.922333999,0.21826463
57,-1,0,-45,-45,-1.539906803,-1.523230308,-0.976777212,-0.316113003,0.732350456,0.915091756
58,-1,0,-45,0,-1.61637279,-1.839839208,-1.210906766,-0.384937641,-0.268054988,1.073851856
59,-1,0,-45,45,-1.614253492,-1.77860816,-1.404859458,-0.403378115,-1.128369225,0.454955851
60,-1,0,-45,90,-1.577412895,-1.444584973,-1.153319592,-0.426277242,-0.920514927,0.02292479
61,-1,0,0,-90,-1.520307483,-1.569669457,-0.079074861,0.084763616,0.365668371,0.126075051
62,-1,0,0,-45,-1.590338747,-1.992893293,0.196836031,-0.047236098,0.782434363,0.921651859
63,-1,0,0,0,-1.598179695,-2.180994288,0.026548895,-0.018829674,-0.031128355,1.249104614
64,-1,0,0,45,-1.481130938,-1.819228729,-0.112718314,0.001628876,-0.591405173,0.767537359
65,-1,0,0,90,-1.53302283,-1.576929518,0.162138779,-0.138003135,-0.356279797,0.219201561
66,-1,0,45,-90,-1.550173419,-1.405687952,1.151377534,0.389443682,0.926653137,-0.027069155
67,-1,0,45,-45,-1.622322419,-1.772877948,1.433458327,0.343812783,1.19274569,0.560572855
68,-1,0,45,0,-1.591879207,-1.776089033,1.21035028,0.335983414,0.133525198,0.991288831
69,-1,0,45,45,-1.569982055,-1.503954318,1.032919128,0.272316577,-0.671979171,0.753750502
70,-1,0,45,90,-1.583995651,-1.25560476,1.187510079,0.083478157,-0.809764719,0.194268217
71,-1,0,90,-90,-1.756919469,-1.215414672,1.994617709,0.433058662,0.704555057,-1.050782438
72,-1,0,90,-45,-1.759533446,-1.443204248,2.119151819,0.478976466,1.661053236,-0.654982585
73,-1,0,90,0,-1.709697916,-1.49452377,1.686874332,0.494944653,1.50863965,0.101899205
74,-1,0,90,45,-1.66666075,-1.248859406,1.378200842,0.269510229,0.305280504,0.646384089
75,-1,0,90,90,-1.760152589,-1.034206931,1.56410158,0.065757322,-0.342273541,0.384076467
76,-1,0.5,-90,-90,-0.552678649,-0.871864729,-1.808523922,-0.163557271,0.957471848,0.748169505
77,-1,0.5,-90,-45,-0.425033637,-1.212311397,-0.936988639,-0.538118392,0.282206673,1.30584423
78,-1,0.5,-90,0,-0.388121976,-1.463915345,-1.274893588,-0.633428349,-1.660095865,0.785755907
79,-1,0.5,-90,45,-0.393014872,-1.336428526,-2.028409016,-0.363366495,-2.180640454,-0.34968878
80,-1,0.5,-90,90,-0.487740702,-0.775452347,-1.892667873,-0.129815365,-1.146886239,-0.779817835
81,-1,0.5,-45,-90,-0.600408148,-0.804027653,-0.959504837,-0.138159244,1.620490428,0.753860028
82,-1,0.5,-45,-45,-0.50559354,-1.14564818,-0.570869774,-0.415459179,1.279898566,1.823332984
83,-1,0.5,-45,0,-0.506817918,-1.591970843,-0.956618422,-0.39330942,-0.034948583,2.264654521
84,-1,0.5,-45,45,-0.501218825,-1.449413515,-1.475305678,-0.183426676,-2.044229199,1.298221226
85,-1,0.5,-45,90,-0.561631815,-0.673402105,-0.879987528,-0.164586266,-1.785482169,-0.171312249
86,-1,0.5,0,-90,-0.57346136,-0.730431302,-0.091849337,0.05952696,1.669762517,0.353284393
87,-1,0.5,0,-45,-0.497655781,-1.437316838,0.388379328,-0.139103958,1.577268563,1.84948161
88,-1,0.5,0,0,-0.49802373,-1.970517941,0.002012341,-0.003552957,0.013599172,2.448893323
89,-1,0.5,0,45,-0.504473489,-1.457079247,-0.382634987,0.124795518,-1.596682319,1.87630091
90,-1,0.5,0,90,-0.573963478,-0.739731462,0.072797243,-0.044373535,-1.648298984,0.248845291
91,-1,0.5,45,-90,-0.56990561,-0.685409837,0.908129364,0.153736276,1.813640081,-0.175015712
92,-1,0.5,45,-45,-0.504594568,-1.453300661,1.490228676,0.164829217,2.038848694,1.302802053
93,-1,0.5,45,0,-0.51353253,-1.605333109,0.976765605,0.39059488,0.020963274,2.244877877
94,-1,0.5,45,45,-0.523147211,-1.170381573,0.595246407,0.425733884,-1.270855738,1.815173982
95,-1,0.5,45,90,-0.609475341,-0.799439019,0.980686286,0.132227715,-1.64329013,0.752748817
96,-1,0.5,90,-90,-0.497868036,-0.80273878,1.952756482,0.145228948,1.214381263,-0.778504343
97,-1,0.5,90,-45,-0.412855988,-1.414677661,2.136750004,0.387280587,2.308879999,-0.36483028
98,-1,0.5,90,0,-0.403786295,-1.497970655,1.310066669,0.631668171,1.729518494,0.717303205
99,-1,0.5,90,45,-0.430806354,-1.201942455,0.956777841,0.535629046,-0.227538109,1.172678435
100,-1,0.5,90,90,-0.547689048,-0.844271413,1.804212501,0.144063911,-0.883400162,0.672473432
101,-1,1,-90,-90,0.000929941,0.004832442,-3.418740153,0.004350572,-0.02763027,0.769293591
102,-1,1,-90,-45,0.130611585,-0.28395438,-1.624298007,-0.198423924,-0.660092885,1.288544543
103,-1,1,-90,0,0.123308264,-0.510654458,-0.864992539,-0.29143339,-1.615762639,0.794352784
104,-1,1,-90,45,0.111795484,-0.486535949,-0.631340068,-0.202451619,-2.041873031,0.126638591
105,-1,1,-90,90,-0.000303184,-0.00037645,0.015339437,-0.014859478,-0.733365945,-0.105885461
